1,1-3 weeks,broiler chicken,broiler DHA,S Control,52.46,1416.42,52.46,39.45,244.91,1.666929755,2.840386695,,89.45981555,68.661155,30.41043,0.134408476,0.439950383,0.990895741,2.645037359,3.201168495,1.08345335,6.072495062,0.807,3.314,3.078,0.180,1.014,0.494,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler DHA,S Control,52.821,1426.167,52.821,41.95,143.12,2.416055925,2.885096864,431.18115,88.4057971,64.6573575,18.5119,0.226050618,0.503317037,0.987464486,3.853788383,3.440097506,1.064109804,6.156502776,0.629,2.703,2.361,0.147,1.011,0.454,,,,,,,,,,,,,
3,1-3 weeks,broiler chicken,broiler DHA,S Control,50.255,1356.885,50.255,40.78,,,3.622490662,254.44225,51.38339921,62.255079,41.063765,,0.408964347,0.657386507,2.497491218,3.768589263,0.781265015,4.066476079,0.574,2.703,2.424,0.084,0.578,0.432,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler DHA,S Control,52.82,1426.14,52.82,40.58,449.67,,2.231291643,463.8469,96.83794466,47.7000975,34.28437,0.06924073,0.587673714,0.995485901,3.733852709,4.253584306,1.992625516,5.773458679,0.530,1.587,2.642,0.077,0.818,0.348,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler DHA,S Control,59.24562,1599.63174,59.24562,44.14,327.88,3.423159319,2.326543741,,31.2911726,50.8089285,27.228265,0.06924073,0.429688119,1.233309823,3.236097526,2.922005989,0.649364402,4.051796101,0.642,2.157,3.791,0.096,1.130,0.281,,,,,,,,,,,,,
6,1-3 weeks,broiler chicken,broiler DHA,S Control,53.297,1439.019,53.297,40.81,323.28,2.083662194,2.819003571,414.67635,111.5942029,49.254513,51.44039,,0.451654723,0.843301579,3.14849597,2.328050933,0.930263083,4.682293929,0.418,1.473,2.134,0.085,0.476,0.201,,,,,,,,,,,,,
1,1-3 weeks,broiler chicken,broiler DHA,S 1%,52.79562,1425.48174,52.79562,40.56,186.03,2.530161236,2.08290572,,58.2345191,50.761825,18.096835,0.152736904,0.432713945,0.9257004,3.208117859,3.730435798,0.941812623,5.560573812,0.280789466,1.039130029,1.439669748,0.143551036,0.663616498,0.129436121,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler DHA,S 1%,48.62688,1312.92576,48.62688,36.86,157.48,2.614499944,2.535839169,183.2653,92.09486166,39.739606,43.000735,,0.304408133,0.664874524,1.953144366,2.512589884,1.267808518,4.185774957,0.599843982,2.81133974,2.639233452,0.141957309,1.533387419,0.411478892,,,,,,,,,,,,,
3,1-3 weeks,broiler chicken,broiler DHA,S 1%,49.57,1338.39,49.57,38.40,,2.822866163,2.349222812,804.9461,83.33333333,46.1927855,23.631035,0.173101825,0.601408929,0.992205004,4.138156127,9.299113593,1.997938262,3.657164109,0.459,1.576,3.120,0.064,0.688,0.351,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler DHA,S 1%,54.47937,1470.94299,54.47937,41.66,485.28,,2.545558771,268.19625,81.62055336,40.3519515,30.272075,0.150700412,0.523758068,0.984240605,3.552698676,3.864045488,0.829352024,6.509990902,0.463,1.620,2.970,0.082,0.651,0.264,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler DHA,S 1%,51.51625,1390.93875,51.51625,39.86,,,2.157422668,,90.38208169,44.3086455,24.59952,,0.493515577,0.861701402,2.651008984,2.470527033,0.856715789,3.966307465,1.128,2.644,2.744,0.162,1.395,0.317,,,,,,,,,,,,,
6,1-3 weeks,broiler chicken,broiler DHA,S 1%,55.8625,1508.2875,55.8625,42.50,390.65,3.105648889,1.990893489,649.5259,106.7193676,51.044446,34.28437,0.278999411,0.484119835,0.94175815,3.850262989,4.949489734,1.438677564,5.398573701,0.809,2.805,4.178,0.210,1.319,0.456,,,,,,,,,,,,,
1,1-3 weeks,broiler chicken,broiler DHA,s 2%,49.5475,1337.7825,49.5475,39.88,,2.783177359,1.79066969,742.02155,81.4229249,66.117566,32.209045,,0.44603362,0.859347834,4.475250513,22.58680219,10.68098894,4.524165221,0.654,2.158,2.629,0.058,1.098,0.338,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler DHA,s 2%,58.2425,1572.5475,58.2425,35.27,87.64,2.46566693,2.066706384,693.19485,74.17654809,63.6210805,33.592595,0.276962919,0.161753071,0.308980254,1.160785924,1.225851207,0.278788045,1.645699694,0.675,2.462,3.749,0.123,0.528,0.510,,,,,,,,,,,,,
3,1-3 weeks,broiler chicken,broiler DHA,s 2%,60.84125,1642.71375,60.84125,44.11,181.57,,2.154182801,857.899,70.02635046,55.8961065,22.66255,0.183284285,0.741311443,1.28216908,3.437198203,6.56288399,2.568902094,7.486762087,0.533482435,1.713950889,2.637745702,0.051917434,0.469662012,0.269365426,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler DHA,s 2%,56.63375,1529.11125,56.63375,44.78,,,2.090681402,441.1528,,40.022227,23.077615,,0.482466556,1.066682839,3.79925266,8.23773108,3.28401562,7.264218664,0.822108487,2.732607824,2.729244658,0.058128969,0.690679104,0.410497862,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler DHA,s 2%,52.14312,1407.86424,52.14312,40.79,274.72,3.249520803,1.798445371,927.3567,139.9868248,49.160306,17.820125,0.205685697,0.486844612,1.039473245,4.340317097,3.322589641,1.008544315,6.312040836,0.438,1.796,2.121,0.060,0.473,0.218,,,,,,,,,,,,,
